model,condition,n,n_tasks,tasks,TSR,n_matched_baseline,TSR_matched_baseline,delta_pp_matched,bits_removed,n_pairs,flips_to_failure,flips_to_success,delta_ci_lo,delta_ci_hi,mcnemar_p
smolvla,original,200,10,0 1 2 3 4 5 6 7 8 9,0.7850,200,0.7850,0.00,0.00,200,0,0,0.00,0.00,1
smolvla,blank,200,10,0 1 2 3 4 5 6 7 8 9,0.0000,200,0.7850,78.50,3.32,200,157,0,72.50,84.00,1.09e-47
openvla,original,200,10,0 1 2 3 4 5 6 7 8 9,0.7100,200,0.7100,0.00,0.00,200,0,0,0.00,0.00,1
openvla,blank,200,10,0 1 2 3 4 5 6 7 8 9,0.0000,200,0.7100,71.00,3.32,200,142,0,64.50,77.00,3.59e-43
openvla,verb_dropped,200,10,0 1 2 3 4 5 6 7 8 9,0.7500,200,0.7100,-4.00,0.00,200,25,33,-11.00,3.50,0.358
openvla,nouns_masked,200,10,0 1 2 3 4 5 6 7 8 9,0.0600,200,0.7100,65.00,3.32,200,132,2,58.00,71.50,8.31e-37
openvla_oft,original,200,10,0 1 2 3 4 5 6 7 8 9,0.9750,200,0.9750,0.00,0.00,200,0,0,0.00,0.00,1
openvla_oft,blank,200,10,0 1 2 3 4 5 6 7 8 9,0.1250,200,0.9750,85.00,3.32,200,170,0,80.00,89.50,1.34e-51
openvla_oft,verb_dropped,200,10,0 1 2 3 4 5 6 7 8 9,0.9550,200,0.9750,2.00,0.00,200,7,3,-1.00,5.00,0.344
openvla_oft,nouns_masked,200,10,0 1 2 3 4 5 6 7 8 9,0.2400,200,0.9750,73.50,3.32,200,148,1,67.50,79.50,4.2e-43
