model,suite,condition,TSR,TSR_std_over_seeds,delta_TSR_pp,CSS,n_total,seeds
smolvla,libero_goal,original,0.7850,0.0250,0.00,,200,7;42
smolvla,libero_goal,blank,0.0000,0.0000,78.50,1.0000,200,7;42
smolvla,libero_goal,nonsense,0.0000,0.0000,78.50,1.0000,200,7;42
smolvla,libero_goal,wrong_object,0.0929,0.0214,69.21,,140,7;42
smolvla,libero_goal,wrong_action,0.6450,0.0050,14.00,,200,7;42
smolvla,libero_goal,wrong_task,0.0000,0.0000,78.50,,200,7;42
smolvla,libero_goal,repeated,0.1000,0.0200,68.50,,200,7;42
openvla,libero_goal,original,0.7100,0.0100,0.00,,200,7;42
openvla,libero_goal,blank,0.0000,0.0000,71.00,1.0000,200,7;42
openvla,libero_goal,nonsense,0.0000,0.0000,71.00,1.0000,200,7;42
openvla,libero_goal,wrong_object,0.1071,0.0071,60.29,,140,7;42
openvla,libero_goal,wrong_action,0.5900,0.0000,12.00,,200,7;42
openvla,libero_goal,wrong_task,0.0000,0.0000,71.00,,200,7;42
openvla,libero_goal,repeated,0.5850,0.0050,12.50,,200,7;42
openvla_oft,libero_goal,original,0.9750,0.0150,0.00,,200,7;42
openvla_oft,libero_goal,blank,0.1250,0.0250,85.00,0.8718,200,7;42
openvla_oft,libero_goal,nonsense,0.1400,0.0100,83.50,0.8564,200,7;42
openvla_oft,libero_goal,wrong_object,0.1143,0.0000,86.07,,140,7;42
openvla_oft,libero_goal,wrong_action,0.9450,0.0050,3.00,,200,7;42
openvla_oft,libero_goal,wrong_task,0.0000,0.0000,97.50,,200,7;42
openvla_oft,libero_goal,repeated,0.9650,0.0150,1.00,,200,7;42
