model,axis,operation,n,TSR,delta_TSR_pp,mean_PD
smolvla,para_object,lexical,259,0.2973,48.77,0.0938
smolvla,para_action,lexical,253,0.1897,59.53,0.0777
smolvla,para_action,pragmatical,444,0.0293,75.57,0.2099
smolvla,para_action,structural,173,0.0116,77.34,0.1911
smolvla,para_compositional,lexical+lexical,898,0.0479,73.71,0.2016
smolvla,para_compositional,lexical+pragmatical,1475,0.0061,77.89,0.3077
smolvla,para_compositional,lexical+structural,590,0.0017,78.33,0.2896
openvla,para_object,lexical,150,0.48,22.56,0.0931
openvla,para_action,lexical,50,0.74,-3.44,0.0697
openvla,para_action,pragmatical,50,0.52,18.56,0.2287
openvla,para_action,structural,50,0.56,14.56,0.204
openvla,para_compositional,lexical+lexical,50,0.2,50.56,0.2082
openvla,para_compositional,lexical+pragmatical,50,0.24,46.56,0.3021
openvla,para_compositional,lexical+structural,50,0.28,42.56,0.2701
openvla_oft,para_object,lexical,150,0.78,19.5,0.0931
openvla_oft,para_action,lexical,50,1.0,-2.5,0.0697
openvla_oft,para_action,pragmatical,50,0.86,11.5,0.2287
openvla_oft,para_action,structural,50,0.86,11.5,0.204
openvla_oft,para_compositional,lexical+lexical,50,0.5,47.5,0.2082
openvla_oft,para_compositional,lexical+pragmatical,50,0.58,39.5,0.3021
openvla_oft,para_compositional,lexical+structural,50,0.54,43.5,0.2701
