model,condition,n_pairs,mean_tdiv_step,e10_m,n_at_e10,t_half_support
smolvla,blank,84,1.00,0.3548,84,14
smolvla,nonsense,84,1.87,0.2197,84,14
smolvla,para_action,10,2.00,0.1972,10,29
smolvla,para_compositional,13,1.85,0.2086,13,13
smolvla,para_object,13,4.69,0.1383,13,13
smolvla,repeated,84,2.40,0.1737,84,14
smolvla,wrong_action,77,9.31,0.0838,77,14
smolvla,wrong_task,84,1.64,0.3278,84,14
smolvla,wrong_object,56,1.96,0.1785,56,13
openvla,blank,73,2.16,0.2315,73,18
openvla,nonsense,73,1.92,0.2087,73,18
openvla,nouns_masked,73,3.11,0.2015,73,16
openvla,repeated,65,6.35,0.1082,65,14
openvla,verb_dropped,68,7.87,0.0764,68,13
openvla,wrong_action,68,6.18,0.1355,68,16
openvla,wrong_task,73,2.25,0.2992,73,18
openvla,wrong_object,48,2.75,0.1920,48,16
openvla_oft,blank,55,1.58,0.3236,55,12
openvla_oft,nonsense,54,1.65,0.3043,54,12
openvla_oft,nouns_masked,55,2.67,0.2751,55,12
openvla_oft,para_action,50,11.70,0.0339,50,12
openvla_oft,para_compositional,55,6.58,0.1474,55,12
openvla_oft,para_object,51,10.90,0.0582,51,12
openvla_oft,repeated,43,12.02,0.0234,43,12
openvla_oft,verb_dropped,53,12.13,0.0206,53,12
openvla_oft,wrong_action,51,11.37,0.0289,51,12
openvla_oft,wrong_task,55,1.64,0.3127,55,12
openvla_oft,wrong_object,35,1.89,0.3173,35,11
