model,layer,noun_attention,verb_attention,AAR_noun_over_verb,n_instructions
smolvla,0,0.005322,0.005295,1.005166,10
smolvla,1,0.005388,0.005293,1.018042,10
smolvla,2,0.005423,0.005256,1.031737,10
smolvla,3,0.005421,0.005253,1.031973,10
smolvla,4,0.005429,0.005257,1.032770,10
smolvla,5,0.005436,0.005273,1.030825,10
smolvla,6,0.005470,0.005307,1.030767,10
smolvla,7,0.005494,0.005323,1.032128,10
smolvla,8,0.005527,0.005335,1.036087,10
smolvla,9,0.005581,0.005342,1.044810,10
smolvla,10,0.005663,0.005348,1.058869,10
smolvla,11,0.005748,0.005353,1.073843,10
smolvla,12,0.005835,0.005351,1.090494,10
smolvla,13,0.005934,0.005350,1.109156,10
smolvla,14,0.006041,0.005346,1.130097,10
smolvla,15,0.006155,0.005345,1.151478,10
smolvla,16,0.006277,0.005338,1.176008,10
smolvla,17,0.006399,0.005334,1.199738,10
smolvla,18,0.006509,0.005332,1.220668,10
smolvla,19,0.006612,0.005334,1.239551,10
smolvla,20,0.006709,0.005339,1.256561,10
smolvla,21,0.006801,0.005346,1.272186,10
smolvla,22,0.006886,0.005356,1.285860,10
smolvla,23,0.006963,0.005367,1.297444,10
openvla,0,0.003927,0.003889,1.009710,10
openvla,1,0.003975,0.003893,1.020942,10
openvla,2,0.004018,0.003898,1.030612,10
openvla,3,0.004052,0.003901,1.038753,10
openvla,4,0.004081,0.003905,1.045051,10
openvla,5,0.004104,0.003907,1.049877,10
openvla,6,0.004123,0.003910,1.054366,10
openvla,7,0.004141,0.003913,1.058348,10
openvla,8,0.004159,0.003916,1.062085,10
openvla,9,0.004179,0.003919,1.066224,10
openvla,10,0.004203,0.003923,1.071374,10
openvla,11,0.004230,0.003928,1.076899,10
openvla,12,0.004260,0.003934,1.082877,10
openvla,13,0.004294,0.003940,1.089848,10
openvla,14,0.004332,0.003947,1.097542,10
openvla,15,0.004374,0.003955,1.089851,10
openvla,16,0.004419,0.003964,1.114783,10
openvla,17,0.004467,0.003973,1.124339,10
openvla,18,0.004517,0.003983,1.134070,10
openvla,19,0.004569,0.003993,1.144252,10
openvla,20,0.004620,0.004003,1.154134,10
openvla,21,0.004670,0.004013,1.163718,10
openvla,22,0.004719,0.004023,1.173005,10
openvla,23,0.004766,0.004033,1.181746,10
openvla,24,0.004812,0.004043,1.190205,10
openvla,25,0.004856,0.004054,1.197829,10
openvla,26,0.004899,0.004064,1.205463,10
openvla,27,0.004941,0.004075,1.212515,10
openvla,28,0.004982,0.004085,1.219584,10
openvla,29,0.005023,0.004096,1.226318,10
openvla,30,0.005064,0.004107,1.233017,10
openvla,31,0.005105,0.004118,1.239679,10
openvla_oft,0,0.003927,0.003889,1.009710,10
openvla_oft,1,0.003975,0.003893,1.020942,10
openvla_oft,2,0.004018,0.003898,1.030612,10
openvla_oft,3,0.004052,0.003901,1.038753,10
openvla_oft,4,0.004081,0.003905,1.045051,10
openvla_oft,5,0.004104,0.003907,1.049877,10
openvla_oft,6,0.004123,0.003910,1.054366,10
openvla_oft,7,0.004141,0.003913,1.058348,10
openvla_oft,8,0.004159,0.003916,1.062085,10
openvla_oft,9,0.004179,0.003919,1.066224,10
openvla_oft,10,0.004203,0.003923,1.071374,10
openvla_oft,11,0.004230,0.003928,1.076899,10
openvla_oft,12,0.004260,0.003934,1.082877,10
openvla_oft,13,0.004294,0.003940,1.089848,10
openvla_oft,14,0.004332,0.003947,1.097542,10
openvla_oft,15,0.004374,0.003955,1.089851,10
openvla_oft,16,0.004419,0.003964,1.114783,10
openvla_oft,17,0.004467,0.003973,1.124339,10
openvla_oft,18,0.004517,0.003983,1.134070,10
openvla_oft,19,0.004569,0.003993,1.144252,10
openvla_oft,20,0.004620,0.004003,1.154134,10
openvla_oft,21,0.004670,0.004013,1.163718,10
openvla_oft,22,0.004719,0.004023,1.173005,10
openvla_oft,23,0.004766,0.004033,1.181746,10
openvla_oft,24,0.004812,0.004043,1.190205,10
openvla_oft,25,0.004856,0.004054,1.197829,10
openvla_oft,26,0.004899,0.004064,1.205463,10
openvla_oft,27,0.004941,0.004075,1.212515,10
openvla_oft,28,0.004982,0.004085,1.219584,10
openvla_oft,29,0.005023,0.004096,1.226318,10
openvla_oft,30,0.005064,0.004107,1.233017,10
openvla_oft,31,0.005105,0.004118,1.239679,10
