model,suite,condition,TSR,TSR_std_over_seeds,delta_TSR_pp,CSS,n_total,seeds
smolvla,libero_goal,original,0.7850,0.0250,0.00,,200,7;42
smolvla,libero_goal,blank,0.0000,0.0000,78.50,1.0000,200,7;42
smolvla,libero_goal,nonsense,0.0000,0.0000,78.50,1.0000,200,7;42
smolvla,libero_goal,wrong_object,0.0929,0.0214,69.21,,140,7;42
smolvla,libero_goal,wrong_action,0.6450,0.0050,14.00,,200,7;42
smolvla,libero_goal,wrong_task,0.0000,0.0000,78.50,,200,7;42
smolvla,libero_goal,repeated,0.1015,0.0188,68.35,,197,7;42
openvla,libero_goal,original,0.6522,0.0423,0.00,,46,7;42
openvla,libero_goal,blank,0.0000,0.0000,65.22,1.0000,46,7;42
openvla,libero_goal,nonsense,0.0000,0.0000,65.22,1.0000,46,7;42
openvla,libero_goal,wrong_object,0.0769,0.0060,57.53,,26,7;42
openvla,libero_goal,wrong_action,0.4130,0.0769,23.91,,46,7;42
openvla,libero_goal,wrong_task,0.0000,0.0000,65.22,,46,7;42
openvla,libero_goal,repeated,0.5385,0.0000,11.37,,26,7
openvla_oft,libero_goal,original,0.9750,0.0150,0.00,,200,7;42
openvla_oft,libero_goal,blank,0.1250,0.0250,85.00,0.8718,40,7;42
openvla_oft,libero_goal,nonsense,0.0750,0.0250,90.00,0.9231,40,7;42
openvla_oft,libero_goal,wrong_object,0.0714,0.0000,90.36,,28,7;42
openvla_oft,libero_goal,wrong_action,0.9750,0.0250,0.00,,40,7;42
openvla_oft,libero_goal,wrong_task,0.0000,0.0000,97.50,,40,7;42
openvla_oft,libero_goal,repeated,0.9500,0.0000,2.50,,40,7;42
