layer,noun_cross_attention,verb_cross_attention,AAR
1,0.4377,0.3908,1.1200102354145343
2,0.4312,0.285,1.512982456140351
3,0.4289,0.21,2.0423809523809524
4,0.4273,0.1664,2.567908653846154
5,0.451,0.125,3.608
6,0.482,0.091,5.2967032967032965
7,0.51,0.074,6.891891891891892
8,0.5297,0.0631,8.394611727416798
9,0.541,0.057,9.491228070175438
10,0.552,0.053,10.415094339622643
11,0.548,0.051,10.745098039215687
12,0.5339,0.05,10.678
13,0.561,0.05,11.22
14,0.589,0.05,11.78
15,0.607,0.05,12.139999999999999
16,0.612,0.05,12.239999999999998
